Event,Country,Athlete,Sport,Gold,Silver,Bronze
Beijing 2022,CAN,Ann-Renee Desbiens,Ice Hockey,1,0,0
Beijing 2022,FIN,Markus Granlund,Ice Hockey,1,0,0
Beijing 2022,USA,Karen Chen,Figure skating,1,0,0
Beijing 2022,FIN,Miro Aaltonen,Ice Hockey,1,0,0
Beijing 2022,GER,Tobias Wendl,Luge,1,0,0
Beijing 2022,CAN,Micah Zandee-Hart,Ice Hockey,1,0,0
Beijing 2022,FIN,Marko Anttila,Ice Hockey,1,0,0
Beijing 2022,CAN,Max Parrot,Snowboard,1,0,0
Beijing 2022,SUI,Beat Feuz,Alpine Skiing,1,0,0
Beijing 2022,FIN,Atte Ohtamaa,Ice Hockey,1,0,0
Beijing 2022,GER,Denise Herrmann,Biathlon,1,0,0
Beijing 2022,CAN,Jordan Pierre-Gilles,Short Track Speed Skating,1,0,0
Beijing 2022,USA,Christopher Lillis,Freestyle Skiing,1,0,0
Beijing 2022,GER,Deborah Levi,Bobsleigh,1,0,0
Beijing 2022,CHN,Guangpu Qi,Freestyle Skiing,1,0,0
Beijing 2022,AUT,Johannes Strolz,Alpine Skiing,1,0,0
Beijing 2022,CAN,Renata Fast,Ice Hockey,1,0,0
Beijing 2022,ROC,Tatiana Sorina,Cross Country Skiing,1,0,0
Beijing 2022,SWE,Daniel Magnusson,Curling,1,0,0
Beijing 2022,SWE,Linn Persson,Biathlon,1,0,0
Beijing 2022,CHN,Yuting Zhang,Short Track Speed Skating,1,0,0
Beijing 2022,GBR,Vicky Wright,Curling,1,0,0
Beijing 2022,NED,Xandra Velzeboer,Short Track Speed Skating,1,0,0
Beijing 2022,SWE,Christoffer Sundgren,Curling,1,0,0
Beijing 2022,FIN,Harri Pesonen,Ice Hockey,1,0,0
Beijing 2022,NOR,Tarjei Boe,Biathlon,1,0,0
Beijing 2022,SUI,Marco Odermatt,Alpine Skiing,1,0,0
Beijing 2022,NZL,Zoi Sadowski Synnott,Snowboard,1,0,0
Beijing 2022,NOR,Tiril Eckhoff,Biathlon,1,0,0
Beijing 2022,USA,Justin Schoenefeld,Freestyle Skiing,1,0,0
Beijing 2022,FIN,Petteri Lindbohm,Ice Hockey,1,0,0
Beijing 2022,CAN,Claire Thompson,Ice Hockey,1,0,0
Beijing 2022,CAN,Emily Clark,Ice Hockey,1,0,0
Beijing 2022,ITA,Stefania Constantini,Curling,1,0,0
Beijing 2022,AUT,Stefan Kraft,Ski Jumping,1,0,0
Beijing 2022,SWE,Elvira Oeberg,Biathlon,1,0,0
Beijing 2022,FIN,Iiro Pakarinen,Ice Hockey,1,0,0
Beijing 2022,USA,Evan Bates,Figure skating,1,0,0
Beijing 2022,CAN,Melodie Daoust,Ice Hockey,1,0,0
Beijing 2022,GER,Thorsten Margis,Bobsleigh,1,0,0
Beijing 2022,CAN,Blayre Turnbull,Ice Hockey,1,0,0
Beijing 2022,CAN,Rebecca Johnston,Ice Hockey,1,0,0
Beijing 2022,USA,Nathan Chen,Figure skating,1,0,0
Beijing 2022,SLO,Nika Kriznar,Ski Jumping,1,0,0
Beijing 2022,NOR,Birk Ruud,Freestyle Skiing,1,0,0
Beijing 2022,NOR,Therese Johaug,Cross Country Skiing,1,0,0
Beijing 2022,GBR,Jennifer Dodds,Curling,1,0,0
Beijing 2022,AUT,Manuel Fettner,Ski Jumping,1,0,0
Beijing 2022,GBR,Mili Smith,Curling,1,0,0
Beijing 2022,JPN,Ayumu Hirano,Snowboard,1,0,0
Beijing 2022,NOR,Joergen Graabak,Nordic Combined,1,0,0
Beijing 2022,NOR,Marte Olsbu Roeiseland,Biathlon,1,0,0
Beijing 2022,CHN,Cong Han,Figure skating,1,0,0
Beijing 2022,CZE,Ester Ledecka,Snowboard,1,0,0
Beijing 2022,SUI,Mathilde Gremaud,Freestyle Skiing,1,0,0
Beijing 2022,AUT,Michael Matt,Alpine Skiing,1,0,0
Beijing 2022,CAN,Laura Stacey,Ice Hockey,1,0,0
Beijing 2022,GER,Katharina Hennig,Cross Country Skiing,1,0,0
Beijing 2022,SLO,Timi Zajc,Ski Jumping,1,0,0
Beijing 2022,FIN,Niklas Friman,Ice Hockey,1,0,0
Beijing 2022,SUI,Ryan Regez,Freestyle Skiing,1,0,0
Beijing 2022,CAN,Jocelyne Larocque,Ice Hockey,1,0,0
Beijing 2022,ROC,Yulia Stupak,Cross Country Skiing,1,0,0
Beijing 2022,NOR,Sturla Holm Laegreid,Biathlon,1,0,0
