Event,Country,Athlete,Sport,Gold,Silver,Bronze
Sochi 2014,CAN,Haley Irwin,Ice Hockey,1,0,0
Sochi 2014,RUS,Evgeni Viktorovich Plushenko,Figure skating,1,0,0
Sochi 2014,USA,Meryl Davis,Figure skating,1,0,0
Sochi 2014,KOR,Suk Hee Shim,Short Track Speed Skating,1,0,0
Sochi 2014,FRA,Pierre Vaultier,Snowboard,1,0,0
Sochi 2014,SVK,Anastasiya Kuzmina,Biathlon,1,0,0
Sochi 2014,KOR,Sang-Hwa Lee,Speed skating,1,0,0
Sochi 2014,NOR,Maiken Caspersen Falla,Cross Country Skiing,1,0,0
Sochi 2014,SWE,Marcus Hellner,Cross Country Skiing,1,0,0
Sochi 2014,USA,Charlie White,Figure skating,1,0,0
Sochi 2014,NED,Marrit Leenstra,Speed skating,1,0,0
Sochi 2014,CAN,Alexandre Bilodeau,Freestyle Skiing,1,0,0
Sochi 2014,UKR,Yuliia Dzhima,Biathlon,1,0,0
Sochi 2014,LAT,Daumants Dreiskens,Bobsleigh,1,0,0
Sochi 2014,GER,Maria Höfl-Riesch,Alpine Skiing,1,0,0
Sochi 2014,CAN,Jeff Carter,Ice Hockey,1,0,0
Sochi 2014,NOR,Magnus Krog,Nordic Combined,1,0,0
Sochi 2014,GER,Tobias Wendl,Luge,1,0,0
Sochi 2014,CAN,Marc-Edouard Vlasic,Ice Hockey,1,0,0
Sochi 2014,RUS,Yulia Lipnitskaya,Figure skating,1,0,0
Sochi 2014,CAN,Carey Price,Ice Hockey,1,0,0
Sochi 2014,RUS,Adelina Sotnikova,Figure skating,1,0,0
Sochi 2014,SUI,Iouri Podladtchikov,Snowboard,1,0,0
Sochi 2014,NED,Jorien Ter Mors,Speed skating,1,0,0
Sochi 2014,RUS,Semen Elistratov,Short Track Speed Skating,1,0,0
Sochi 2014,CAN,Chris Kunitz,Ice Hockey,1,0,0
Sochi 2014,CAN,Dara Howell,Freestyle Skiing,1,0,0
Sochi 2014,CAN,Heather Moyse,Bobsleigh,1,0,0
Sochi 2014,NOR,Kjetil Jansrud,Alpine Skiing,1,0,0
Sochi 2014,CAN,Kaillie Humphries,Bobsleigh,1,0,0
Sochi 2014,CZE,Martina Sablikova,Speed skating,1,0,0
Sochi 2014,CAN,Ryan Getzlaf,Ice Hockey,1,0,0
Sochi 2014,NED,Jan Blokhuijsen,Speed skating,1,0,0
Sochi 2014,GER,Severin Freund,Ski Jumping,1,0,0
Sochi 2014,UKR,Valj Semerenko,Biathlon,1,0,0
Sochi 2014,CAN,Tara Watchorn,Ice Hockey,1,0,0
Sochi 2014,LAT,Oskars Melbardis,Bobsleigh,1,0,0
Sochi 2014,USA,Jamie Anderson,Snowboard,1,0,0
Sochi 2014,CAN,Rick Nash,Ice Hockey,1,0,0
Sochi 2014,NOR,Joergen Graabak,Nordic Combined,1,0,0
Sochi 2014,CAN,John Tavares,Ice Hockey,1,0,0
Sochi 2014,CAN,Lauriane Rougeau,Ice Hockey,1,0,0
Sochi 2014,CAN,Brad Jacobs,Curling,1,0,0
Sochi 2014,BLR,Anton Kushnir,Freestyle Skiing,1,0,0
Sochi 2014,CAN,Hayley Wickenheiser,Ice Hockey,1,0,0
Sochi 2014,GER,Carina Vogt,Ski Jumping,1,0,0
Sochi 2014,NOR,Emil Hegle Svendsen,Biathlon,1,0,0
Sochi 2014,GER,Tobias Arlt,Luge,1,0,0
Sochi 2014,CAN,Jay Bouwmeester,Ice Hockey,1,0,0
Sochi 2014,NOR,Magnus Hovdal Moan,Nordic Combined,1,0,0
Sochi 2014,GER,Andreas Wank,Ski Jumping,1,0,0
Sochi 2014,CAN,Patrice Bergeron,Ice Hockey,1,0,0
Sochi 2014,NED,Michel Mulder,Speed skating,1,0,0
Sochi 2014,CAN,Kaitlyn Lawes,Curling,1,0,0
Sochi 2014,USA,David Wise,Freestyle Skiing,1,0,0
Sochi 2014,CAN,Melodie Daoust,Ice Hockey,1,0,0
Sochi 2014,GBR,Lizzy Yarnold,Skeleton,1,0,0
Sochi 2014,RUS,Alexander Tretiakov,Skeleton,1,0,0
Sochi 2014,CHN,Hong Zhang,Speed skating,1,0,0
Sochi 2014,CAN,Marielle Thompson,Freestyle Skiing,1,0,0
Sochi 2014,NOR,Tora Berger,Biathlon,1,0,0
Sochi 2014,SUI,Patrizia Kummer,Snowboard,1,0,0
Sochi 2014,CAN,Duncan Keith,Ice Hockey,1,0,0
Sochi 2014,RUS,Ekaterina Bobrova,Figure skating,1,0,0
Sochi 2014,NOR,Ingvild Flugstad Oestberg,Cross Country Skiing,1,0,0
Sochi 2014,RUS,Victor An,Short Track Speed Skating,1,0,0
Sochi 2014,POL,Zbigniew Brodka,Speed skating,1,0,0
Sochi 2014,USA,Joss Christensen,Freestyle Skiing,1,0,0
Sochi 2014,CAN,Gillian Apps,Ice Hockey,1,0,0
Sochi 2014,GER,Felix Loch,Luge,1,0,0
Sochi 2014,SWE,Ida Ingemarsdotter,Cross Country Skiing,1,0,0
Sochi 2014,CAN,Alex Pietrangelo,Ice Hockey,1,0,0
Sochi 2014,USA,Maddie Bowman,Freestyle Skiing,1,0,0
Sochi 2014,SUI,Dario Cologna,Cross Country Skiing,1,0,0
Sochi 2014,SWE,Charlotte Kalla,Cross Country Skiing,1,0,0
Sochi 2014,UKR,Olena Pidhrushna,Biathlon,1,0,0
Sochi 2014,RUS,Vic Wild,Snowboard,1,0,0
Sochi 2014,AUT,Julia Dujmovits,Snowboard,1,0,0
Sochi 2014,AUT,Matthias Mayer,Alpine Skiing,1,0,0
Sochi 2014,CAN,Martin St-Louis,Ice Hockey,1,0,0
Sochi 2014,NED,Stefan Groothuis,Speed skating,1,0,0
Sochi 2014,CAN,Roberto Luongo,Ice Hockey,1,0,0
Sochi 2014,BLR,Darya Domracheva,Biathlon,1,0,0
Sochi 2014,USA,Mikaela Shiffrin,Alpine Skiing,1,0,0
Sochi 2014,CAN,Jamie Benn,Ice Hockey,1,0,0
Sochi 2014,RUS,Alexander Legkov,Cross Country Skiing,1,0,0
Sochi 2014,CAN,Jill Officer,Curling,1,0,0
Sochi 2014,SWE,Emma Wiken,Cross Country Skiing,1,0,0
Sochi 2014,CAN,Rebecca Johnston,Ice Hockey,1,0,0
Sochi 2014,CAN,Pk Subban,Ice Hockey,1,0,0
Sochi 2014,CAN,Natalie Spooner,Ice Hockey,1,0,0
Sochi 2014,CAN,E.J. Harnden,Curling,1,0,0
Sochi 2014,CAN,Meghan Agosta,Ice Hockey,1,0,0
Sochi 2014,CAN,Sidney Crosby,Ice Hockey,1,0,0
Sochi 2014,USA,Ted Ligety,Alpine Skiing,1,0,0
Sochi 2014,BLR,Alla Tsuper,Freestyle Skiing,1,0,0
Sochi 2014,CAN,Patrick Sharp,Ice Hockey,1,0,0
Sochi 2014,RUS,Vladimir Grigorev,Short Track Speed Skating,1,0,0
Sochi 2014,KOR,Hae-Ri Jo,Short Track Speed Skating,1,0,0
Sochi 2014,SLO,Tina Maze,Alpine Skiing,1,0,0
Sochi 2014,CAN,Brianne Jenner,Ice Hockey,1,0,0
Sochi 2014,GER,Marinus Kraus,Ski Jumping,1,0,0
Sochi 2014,SWE,Anna Haag,Cross Country Skiing,1,0,0
Sochi 2014,AUT,Mario Matt,Alpine Skiing,1,0,0
Sochi 2014,LAT,Janis Strenga,Bobsleigh,1,0,0
Sochi 2014,CAN,Justine Dufour-Lapointe,Freestyle Skiing,1,0,0
Sochi 2014,GER,Andreas Wellinger,Ski Jumping,1,0,0
Sochi 2014,FIN,Sami Jauhojaervi,Cross Country Skiing,1,0,0
Sochi 2014,NED,Sven Kramer,Speed skating,1,0,0
Sochi 2014,CAN,Shannon Szabados,Ice Hockey,1,0,0
Sochi 2014,CAN,Shea Weber,Ice Hockey,1,0,0
Sochi 2014,CAN,Laura Fortino,Ice Hockey,1,0,0
Sochi 2014,KOR,Seung-Hi Park,Short Track Speed Skating,1,0,0
Sochi 2014,RUS,Dmitry Solovyov,Figure skating,1,0,0
Sochi 2014,KOR,Alang Kim,Short Track Speed Skating,1,0,0
Sochi 2014,CAN,Meaghan Mikkelson,Ice Hockey,1,0,0
Sochi 2014,NOR,Havard Klemetsen,Nordic Combined,1,0,0
Sochi 2014,POL,Kamil Stoch,Ski Jumping,1,0,0
Sochi 2014,FRA,Martin Fourcade,Biathlon,1,0,0
Sochi 2014,RUS,Yelena Ilyinykh,Figure skating,1,0,0
Sochi 2014,LAT,Arvis Vilkaste,Bobsleigh,1,0,0
Sochi 2014,SUI,Alex Baumann,Bobsleigh,1,0,0
Sochi 2014,CHN,Jianrou Li,Short Track Speed Skating,1,0,0
Sochi 2014,RUS,Fedor Klimov,Figure skating,1,0,0
Sochi 2014,CAN,Dan Hamhuis,Ice Hockey,1,0,0
Sochi 2014,UKR,Vita Semerenko,Biathlon,1,0,0
Sochi 2014,NED,Koen Verweij,Speed skating,1,0,0
Sochi 2014,RUS,Ksenia Stolbova,Figure skating,1,0,0
Sochi 2014,CAN,Marie-Philip Poulin,Ice Hockey,1,0,0
Sochi 2014,KOR,Sang-Jeong Gong,Short Track Speed Skating,1,0,0
Sochi 2014,NED,Lotte Van Beek,Speed skating,1,0,0
Sochi 2014,CAN,Matt Duchene,Ice Hockey,1,0,0
Sochi 2014,CAN,Charles Hamelin,Short Track Speed Skating,1,0,0
Sochi 2014,AUT,Anna Veith,Alpine Skiing,1,0,0
Sochi 2014,SUI,Sandro Viletta,Alpine Skiing,1,0,0
Sochi 2014,SUI,Dominique Gisin,Alpine Skiing,1,0,0
Sochi 2014,CAN,Jocelyne Larocque,Ice Hockey,1,0,0
Sochi 2014,CHN,Yang Zhou,Short Track Speed Skating,1,0,0
Sochi 2014,CAN,Corey Perry,Ice Hockey,1,0,0
Sochi 2014,RUS,Nikita Katsalapov,Figure skating,1,0,0
Sochi 2014,SUI,Beat Hefti,Bobsleigh,1,0,0
Sochi 2014,RUS,Maxim Trankov,Figure skating,1,0,0
Sochi 2014,GER,Natalie Geisenberger,Luge,1,0,0
Sochi 2014,FRA,Jean Frederic Chapuis,Freestyle Skiing,1,0,0
Sochi 2014,CZE,Eva Samkova,Snowboard,1,0,0
Sochi 2014,CAN,Jonathan Toews,Ice Hockey,1,0,0
Sochi 2014,CAN,Ryan Fry,Curling,1,0,0
Sochi 2014,CAN,Catherine Ward,Ice Hockey,1,0,0
Sochi 2014,SWE,Daniel Rickardsson,Cross Country Skiing,1,0,0
Sochi 2014,CAN,Jennifer Jones,Curling,1,0,0
Sochi 2014,NED,Jorrit Bergsma,Speed skating,1,0,0
Sochi 2014,USA,Kaitlyn Farrington,Snowboard,1,0,0
Sochi 2014,CAN,Drew Doughty,Ice Hockey,1,0,0
Sochi 2014,CAN,Dawn Mcewen,Curling,1,0,0
Sochi 2014,NOR,Marit Bjoergen,Cross Country Skiing,1,0,0
Sochi 2014,USA,Steven Holcomb,Bobsleigh,0,1,0
Sochi 2014,SWE,Loui Eriksson,Ice Hockey,0,1,0
Sochi 2014,SWE,Christina Bertrup,Curling,0,1,0
Sochi 2014,FIN,Kerttu Niskanen,Cross Country Skiing,0,1,0
Sochi 2014,USA,Lauryn Williams,Bobsleigh,0,1,0
Sochi 2014,JPN,Noriaki Kasai,Ski Jumping,0,1,0
Sochi 2014,USA,Devin Logan,Freestyle Skiing,0,1,0
Sochi 2014,AUT,Andreas Linger,Luge,0,1,0
Sochi 2014,SWE,Alexander Steen,Ice Hockey,0,1,0
Sochi 2014,SWE,Gustav Nyquist,Ice Hockey,0,1,0
Sochi 2014,JPN,Akito Watabe,Nordic Combined,0,1,0
Sochi 2014,RUS,Dmitry Yaparov,Cross Country Skiing,0,1,0
Sochi 2014,GER,Fabian Riessle,Nordic Combined,0,1,0
Sochi 2014,RUS,Nikolay Olyunin,Snowboard,0,1,0
Sochi 2014,SWE,Patrik Berglund,Ice Hockey,0,1,0
Sochi 2014,SWE,Maria Prytz,Curling,0,1,0
Sochi 2014,USA,Curtis Tomasevicz,Bobsleigh,0,1,0
Sochi 2014,FRA,Steve Missillier,Alpine Skiing,0,1,0
Sochi 2014,GER,Bjoern Kircheisen,Nordic Combined,0,1,0
Sochi 2014,CRO,Ivica Kostelic,Alpine Skiing,0,1,0
Sochi 2014,CHN,Tianyu Han,Short Track Speed Skating,0,1,0
Sochi 2014,SWE,Jakob Silfverberg,Ice Hockey,0,1,0
Sochi 2014,CAN,Jessica Hewitt,Short Track Speed Skating,0,1,0
Sochi 2014,SWE,Alexander Edler,Ice Hockey,0,1,0
Sochi 2014,USA,Amanda Kessel,Ice Hockey,0,1,0
Sochi 2014,SWE,Carl Hagelin,Ice Hockey,0,1,0
Sochi 2014,FRA,Marie Martinod,Freestyle Skiing,0,1,0
Sochi 2014,NOR,Staale Sandbech,Snowboard,0,1,0
Sochi 2014,USA,Noelle Pikus-Pace,Skeleton,0,1,0
Sochi 2014,AUT,Marcel Hirscher,Alpine Skiing,0,1,0
Sochi 2014,RUS,Nikita Kriukov,Cross Country Skiing,0,1,0
Sochi 2014,CAN,Dylan Moscovitch,Figure skating,0,1,0
Sochi 2014,AUT,Thomas Diethart,Ski Jumping,0,1,0
Sochi 2014,SWE,Gabriel Landeskog,Ice Hockey,0,1,0
Sochi 2014,SLO,Zan Kosir,Snowboard,0,1,0
Sochi 2014,CZE,Ondrej Moravec,Biathlon,0,1,0
Sochi 2014,LAT,Martins Dukurs,Skeleton,0,1,0
Sochi 2014,SWE,Jonathan Ericsson,Ice Hockey,0,1,0
Sochi 2014,RUS,Vladislav Antonov,Luge,0,1,0
Sochi 2014,USA,Molly Schaus,Ice Hockey,0,1,0
Sochi 2014,GER,Daniel Boehm,Biathlon,0,1,0
Sochi 2014,CAN,Mike Riddle,Freestyle Skiing,0,1,0
Sochi 2014,NOR,Ann Kristin Aafedt Flatland,Biathlon,0,1,0
Sochi 2014,USA,Kacey Bellamy,Ice Hockey,0,1,0
Sochi 2014,USA,Alex Carpenter,Ice Hockey,0,1,0
Sochi 2014,CAN,Valerie Maltais,Short Track Speed Skating,0,1,0
Sochi 2014,GER,Tatjana Huefner,Luge,0,1,0
Sochi 2014,CAN,Tessa Virtue,Figure skating,0,1,0
Sochi 2014,GER,Arnd Peiffer,Biathlon,0,1,0
Sochi 2014,CAN,Eric Radford,Figure skating,0,1,0
Sochi 2014,USA,Josephine Pucci,Ice Hockey,0,1,0
Sochi 2014,SWE,Niklas Kronwall,Ice Hockey,0,1,0
Sochi 2014,SWE,Marcus Johansson,Ice Hockey,0,1,0
Sochi 2014,KOR,Seung Hoon Lee,Speed skating,0,1,0
Sochi 2014,GER,Erik Lesser,Biathlon,0,1,0
Sochi 2014,GBR,David Murdoch,Curling,0,1,0
Sochi 2014,GBR,Greg Drummond,Curling,0,1,0
Sochi 2014,USA,Gigi Marvin,Ice Hockey,0,1,0
Sochi 2014,SWE,Jimmie Ericsson,Ice Hockey,0,1,0
Sochi 2014,FIN,Enni Rukajarvi,Snowboard,0,1,0
Sochi 2014,POL,Natalia Czerwonka,Speed skating,0,1,0
Sochi 2014,KOR,Cheol Min Kim,Speed skating,0,1,0
Sochi 2014,SWE,Daniel Sedin,Ice Hockey,0,1,0
Sochi 2014,NOR,Fanny Horn,Biathlon,0,1,0
Sochi 2014,CHN,Kexin Fan,Short Track Speed Skating,0,1,0
Sochi 2014,SWE,Henrik Zetterberg,Ice Hockey,0,1,0
Sochi 2014,AUT,Nicole Hosp,Alpine Skiing,0,1,0
Sochi 2014,JPN,Tomoka Takeuchi,Snowboard,0,1,0
Sochi 2014,AUT,Thomas Morgenstern,Ski Jumping,0,1,0
Sochi 2014,ITA,Arianna Fontana,Short Track Speed Skating,0,1,0
Sochi 2014,SWE,Joel Lundqvist,Ice Hockey,0,1,0
Sochi 2014,CAN,Mikael Kingsbury,Freestyle Skiing,0,1,0
Sochi 2014,CAN,Dominique Maltais,Snowboard,0,1,0
Sochi 2014,SWE,Nicklas Backstrom,Ice Hockey,0,1,0
Sochi 2014,AUT,Wolfgang Linger,Luge,0,1,0
Sochi 2014,SWE,Marcus Kruger,Ice Hockey,0,1,0
Sochi 2014,CAN,Kirsten Moore-Towers,Figure skating,0,1,0
Sochi 2014,USA,Monique Lamoureux,Ice Hockey,0,1,0
Sochi 2014,POL,Luisa Zlotkowska,Speed skating,0,1,0
Sochi 2014,SUI,Nevin Galmarini,Snowboard,0,1,0
Sochi 2014,CAN,Kaetlyn Osmond,Figure skating,0,1,0
Sochi 2014,SWE,Maria Wennerstroem,Curling,0,1,0
Sochi 2014,USA,Hilary Knight,Ice Hockey,0,1,0
Sochi 2014,RUS,Tatyana Ivanova,Luge,0,1,0
Sochi 2014,SWE,Henrik Tallinder,Ice Hockey,0,1,0
Sochi 2014,SWE,Oliver Ekman Larsson,Ice Hockey,0,1,0
Sochi 2014,USA,Jocelyne Lamoureux,Ice Hockey,0,1,0
Sochi 2014,CAN,Kevin Reynolds,Figure skating,0,1,0
Sochi 2014,CZE,Gabriela Koukalova,Biathlon,0,1,0
Sochi 2014,CAN,Kelsey Serwa,Freestyle Skiing,0,1,0
Sochi 2014,SWE,Erik Karlsson,Ice Hockey,0,1,0
Sochi 2014,CAN,Denny Morrison,Speed skating,0,1,0
Sochi 2014,USA,Lyndsey Fry,Ice Hockey,0,1,0
Sochi 2014,AUT,Gregor Schlierenzauer,Ski Jumping,0,1,0
Sochi 2014,SWE,Niklas Hjalmarsson,Ice Hockey,0,1,0
Sochi 2014,SUI,Selina Gasparin,Biathlon,0,1,0
Sochi 2014,USA,Kelli Stack,Ice Hockey,0,1,0
Sochi 2014,GER,Simon Schempp,Biathlon,0,1,0
Sochi 2014,NED,Jan Smeekens,Speed skating,0,1,0
Sochi 2014,AUS,David Morris,Freestyle Skiing,0,1,0
Sochi 2014,CZE,Veronika Vitkova,Biathlon,0,1,0
Sochi 2014,POL,Katarzyna Bachleda-Curus,Speed skating,0,1,0
Sochi 2014,CAN,Marianne St Gelais,Short Track Speed Skating,0,1,0
Sochi 2014,SWE,Daniel Alfredsson,Ice Hockey,0,1,0
Sochi 2014,POL,Katarzyna Wozniak,Speed skating,0,1,0
Sochi 2014,NOR,Therese Johaug,Cross Country Skiing,0,1,0
Sochi 2014,RUS,Maxim Vylegzhanin,Cross Country Skiing,0,1,0
Sochi 2014,KOR,Hyeong-Jun Ju,Speed skating,0,1,0
Sochi 2014,USA,Christopher Fogt,Bobsleigh,0,1,0
Sochi 2014,AUS,Torah Bright,Snowboard,0,1,0
Sochi 2014,AUT,Michael Hayboeck,Ski Jumping,0,1,0
Sochi 2014,USA,Kendall Coyne,Ice Hockey,0,1,0
Sochi 2014,USA,Elana Meyers Taylor,Bobsleigh,0,1,0
Sochi 2014,USA,Andrew Weibrecht,Alpine Skiing,0,1,0
Sochi 2014,SWE,Teodor Peterson,Cross Country Skiing,0,1,0
Sochi 2014,GBR,Scott Andrews,Curling,0,1,0
Sochi 2014,AUT,Marlies Schild,Alpine Skiing,0,1,0
Sochi 2014,CAN,Scott Moir,Figure skating,0,1,0
Sochi 2014,FIN,Anne Kylloenen,Cross Country Skiing,0,1,0
Sochi 2014,FIN,Aino-Kaisa Saarinen,Cross Country Skiing,0,1,0
Sochi 2014,CZE,Jaroslav Soukup,Biathlon,0,1,0
Sochi 2014,USA,Jordan Malone,Short Track Speed Skating,0,1,0
Sochi 2014,CAN,Meagan Duhamel,Figure skating,0,1,0
Sochi 2014,CAN,Patrick Chan,Figure skating,0,1,0
Sochi 2014,RUS,Albert Demchenko,Luge,0,1,0
Sochi 2014,AUT,Daniela Iraschko-Stolz,Ski Jumping,0,1,0
Sochi 2014,CAN,Marie-Eve Drolet,Short Track Speed Skating,0,1,0
Sochi 2014,USA,Julie Chu,Ice Hockey,0,1,0
Sochi 2014,USA,Steven Langton,Bobsleigh,0,1,0
Sochi 2014,JPN,Ayumu Hirano,Snowboard,0,1,0
Sochi 2014,CHN,Mengtao Xu,Freestyle Skiing,0,1,0
Sochi 2014,SWE,Margaretha Sigfridsson,Curling,0,1,0
Sochi 2014,RUS,Olga Vilukhina,Biathlon,0,1,0
Sochi 2014,GER,Anke Woehrer,Snowboard,0,1,0
Sochi 2014,SLO,Peter Prevc,Ski Jumping,0,1,0
Sochi 2014,RUS,Olga Fatkulina,Speed skating,0,1,0
Sochi 2014,GER,Johannes Rydzek,Nordic Combined,0,1,0
Sochi 2014,USA,Meghan Duggan,Ice Hockey,0,1,0
Sochi 2014,FIN,Krista Lahteenmaki-Parmakoski,Cross Country Skiing,0,1,0
Sochi 2014,USA,J R Celski,Short Track Speed Skating,0,1,0
Sochi 2014,KOR,Yuna Kim,Figure skating,0,1,0
Sochi 2014,RUS,Aleksandr Denisev,Luge,0,1,0
Sochi 2014,USA,Michelle Picard,Ice Hockey,0,1,0
Sochi 2014,USA,Lee Stecklein,Ice Hockey,0,1,0
Sochi 2014,USA,Chris Creveling,Short Track Speed Skating,0,1,0
Sochi 2014,USA,Jessie Vetter,Ice Hockey,0,1,0
Sochi 2014,FRA,Arnaud Bovolenta,Freestyle Skiing,0,1,0
Sochi 2014,GBR,Michael Goodfellow,Curling,0,1,0
Sochi 2014,USA,Gus Kenworthy,Freestyle Skiing,0,1,0
Sochi 2014,AUT,Dominik Landertinger,Biathlon,0,1,0
Sochi 2014,USA,Brianna Decker,Ice Hockey,0,1,0
Sochi 2014,SWE,Johnny Oduya,Ice Hockey,0,1,0
Sochi 2014,CHN,Dajing Wu,Short Track Speed Skating,0,1,0
Sochi 2014,USA,Megan Bozek,Ice Hockey,0,1,0
Sochi 2014,USA,Eddy Alvarez,Short Track Speed Skating,0,1,0
Sochi 2014,RUS,Alexander Bessmertnykh,Cross Country Skiing,0,1,0
Sochi 2014,USA,Anne Schleper,Ice Hockey,0,1,0
Sochi 2014,ITA,Christof Innerhofer,Alpine Skiing,0,1,0
Sochi 2014,CAN,Chloe Dufour-Lapointe,Freestyle Skiing,0,1,0
Sochi 2014,SLO,Vesna Fabjan,Cross Country Skiing,0,0,1
Sochi 2014,FIN,Lasse Kukkonen,Ice Hockey,0,0,1
Sochi 2014,GER,Nicole Fessel,Cross Country Skiing,0,0,1
Sochi 2014,USA,Ashley Wagner,Figure skating,0,0,1
Sochi 2014,GBR,Jenny Jones,Snowboard,0,0,1
Sochi 2014,FRA,Chloe Trespeuch,Snowboard,0,0,1
Sochi 2014,GER,Stefanie Boehler,Cross Country Skiing,0,0,1
Sochi 2014,BLR,Nadezhda Skardino,Biathlon,0,0,1
Sochi 2014,NED,Ronald Mulder,Speed skating,0,0,1
Sochi 2014,SUI,Stefanie Marty,Ice Hockey,0,0,1
Sochi 2014,RUS,Yuliya Skokova,Speed skating,0,0,1
Sochi 2014,AUT,Bernhard Gruber,Nordic Combined,0,0,1
Sochi 2014,SWE,Anna Holmlund,Freestyle Skiing,0,0,1
Sochi 2014,FIN,Lauri Korpikoski,Ice Hockey,0,0,1
Sochi 2014,JPN,Ayana Onozuka,Freestyle Skiing,0,0,1
Sochi 2014,NED,Sjinkie Knegt,Short Track Speed Skating,0,0,1
Sochi 2014,AUS,Lydia Lassila,Freestyle Skiing,0,0,1
Sochi 2014,SUI,Phoebe Staenz,Ice Hockey,0,0,1
Sochi 2014,GER,Robin Szolkowy,Figure skating,0,0,1
Sochi 2014,USA,Jason Brown,Figure skating,0,0,1
Sochi 2014,FIN,Antti Pihlstrom,Ice Hockey,0,0,1
Sochi 2014,RUS,Olga Graf,Speed skating,0,0,1
Sochi 2014,ITA,Carolina Kostner,Figure skating,0,0,1
Sochi 2014,USA,Julia Mancuso,Alpine Skiing,0,0,1
Sochi 2014,NED,Carien Kleibeuker,Speed skating,0,0,1
Sochi 2014,USA,Matt Antoine,Skeleton,0,0,1
Sochi 2014,FIN,Sami Lepisto,Ice Hockey,0,0,1
Sochi 2014,GBR,Vicki Adams,Curling,0,0,1
Sochi 2014,SUI,Florence Schelling,Ice Hockey,0,0,1
Sochi 2014,POL,Jan Szymanski,Speed skating,0,0,1
Sochi 2014,SUI,Livia Altmann,Ice Hockey,0,0,1
Sochi 2014,USA,Aja Evans,Bobsleigh,0,0,1
Sochi 2014,USA,Simon Shnapir,Figure skating,0,0,1
Sochi 2014,SUI,Nicole Bullo,Ice Hockey,0,0,1
Sochi 2014,FIN,Kari Lehtonen,Ice Hockey,0,0,1
Sochi 2014,ITA,Elena Viviani,Short Track Speed Skating,0,0,1
Sochi 2014,FRA,Robin Duvillard,Cross Country Skiing,0,0,1
Sochi 2014,FIN,Leo Komarov,Ice Hockey,0,0,1
Sochi 2014,SUI,Jessica Lutz,Ice Hockey,0,0,1
Sochi 2014,CHN,Zongyang Jia,Freestyle Skiing,0,0,1
Sochi 2014,GBR,Claire Hamilton,Curling,0,0,1
Sochi 2014,FIN,Sami Vatanen,Ice Hockey,0,0,1
Sochi 2014,SUI,Sara Benz,Ice Hockey,0,0,1
Sochi 2014,FIN,Teemu Selanne,Ice Hockey,0,0,1
Sochi 2014,FRA,Jonathan Midol,Freestyle Skiing,0,0,1
Sochi 2014,AUT,Simon Eder,Biathlon,0,0,1
Sochi 2014,ITA,Lucia Peretti,Short Track Speed Skating,0,0,1
Sochi 2014,POL,Konrad Niedzwiedzki,Speed skating,0,0,1
Sochi 2014,SWE,Viktor Kjell,Curling,0,0,1
Sochi 2014,KAZ,Denis Ten,Figure skating,0,0,1
Sochi 2014,AUT,Mario Stecher,Nordic Combined,0,0,1
Sochi 2014,ITA,Martina Valcepina,Short Track Speed Skating,0,0,1
Sochi 2014,GBR,John James Jackson,Bobsleigh,0,0,1
Sochi 2014,SWE,Niklas Edin,Curling,0,0,1
Sochi 2014,CHN,Dequan Chen,Short Track Speed Skating,0,0,1
Sochi 2014,SUI,Angela Frautschi,Ice Hockey,0,0,1
Sochi 2014,FIN,Mikael Granlund,Ice Hockey,0,0,1
Sochi 2014,AUT,Christoph Bieler,Nordic Combined,0,0,1
Sochi 2014,SUI,Lara Stalder,Ice Hockey,0,0,1
Sochi 2014,NED,Margot Boer,Speed skating,0,0,1
Sochi 2014,SUI,Evelina Raselli,Ice Hockey,0,0,1
Sochi 2014,SWE,Emil Joensson,Cross Country Skiing,0,0,1
Sochi 2014,ITA,Dorothea Wierer,Biathlon,0,0,1
Sochi 2014,FIN,Sami Salo,Ice Hockey,0,0,1
Sochi 2014,FIN,Jarkko Immonen,Ice Hockey,0,0,1
Sochi 2014,FIN,Sakari Salminen,Ice Hockey,0,0,1
Sochi 2014,USA,Gracie Gold,Figure skating,0,0,1
Sochi 2014,NOR,Heidi Weng,Cross Country Skiing,0,0,1
Sochi 2014,USA,Jeremy Abbott,Figure skating,0,0,1
Sochi 2014,FIN,Tuukka Rask,Ice Hockey,0,0,1
Sochi 2014,SUI,Laura Benz,Ice Hockey,0,0,1
Sochi 2014,NOR,Martin Johnsrud Sundby,Cross Country Skiing,0,0,1
Sochi 2014,FRA,Ivan Perrillat Boiteux,Cross Country Skiing,0,0,1
Sochi 2014,GBR,Anna Sloan,Curling,0,0,1
Sochi 2014,ITA,Lukas Hofer,Biathlon,0,0,1
Sochi 2014,GER,Claudia Nystad,Cross Country Skiing,0,0,1
Sochi 2014,SUI,Romy Eggimann,Ice Hockey,0,0,1
Sochi 2014,USA,Erin Hamlin,Luge,0,0,1
Sochi 2014,ITA,Armin Zoeggeler,Luge,0,0,1
Sochi 2014,NOR,Anders Bardal,Ski Jumping,0,0,1
Sochi 2014,FIN,Olli Maatta,Ice Hockey,0,0,1
Sochi 2014,SWE,Sebastian Kraupp,Curling,0,0,1
Sochi 2014,RUS,Aleksandr Smyshliaev,Freestyle Skiing,0,0,1
Sochi 2014,CAN,Mark Mcmorris,Snowboard,0,0,1
Sochi 2014,LAT,Juris Sics,Luge,0,0,1
